date,BTC-USD,SPY
2023-10-27,33909.8008,396.0607
2023-10-28,34089.5742,
2023-10-29,34538.4805,
2023-10-30,34502.3633,400.7959
2023-10-31,34667.7812,403.313
2023-11-01,35437.2539,407.6142
2023-11-02,34938.2422,415.4258
2023-11-03,34732.3242,419.2159
2023-11-04,35082.1953,
2023-11-05,35049.3555,
2023-11-06,35037.3711,420.1804
2023-11-07,35443.5625,421.3761
2023-11-08,35655.2773,421.6848
2023-11-09,36693.125,418.3962
2023-11-10,37313.9688,424.9251
2023-11-11,37138.0508,
2023-11-12,37054.5195,
2023-11-13,36502.3555,424.5201
2023-11-14,35537.6406,432.7562
2023-11-15,37880.582,433.6723
2023-11-16,36154.7695,434.2027
2023-11-17,36596.6836,434.7428
2023-11-18,36585.7031,
2023-11-19,37386.5469,
2023-11-20,37476.957,438.0893
2023-11-21,35813.8125,437.1345
2023-11-22,37432.3398,438.8222
2023-11-23,37289.6211,
2023-11-24,37720.2812,439.0923
2023-11-25,37796.793,
2023-11-26,37479.1211,
2023-11-27,37254.168,438.3014
2023-11-28,37831.0859,438.7354
2023-11-29,37858.4922,438.4268
2023-11-30,37712.7461,440.153
2023-12-01,38688.75,442.757
2023-12-02,39476.332,
2023-12-03,39978.3906,
2023-12-04,41980.0977,440.4328
2023-12-05,44080.6484,440.3459
2023-12-06,43746.4453,438.5715
2023-12-07,43292.6641,441.918
2023-12-08,44166.6016,443.8179
2023-12-09,43725.9844,
2023-12-10,43779.6992,
2023-12-11,41243.832,445.5441
2023-12-12,41450.2227,447.579
2023-12-13,42890.7422,453.7512
2023-12-14,43023.9727,455.2074
2023-12-15,41929.7578,454.4579
2023-12-16,42240.1172,
2023-12-17,41364.6641,
2023-12-18,42623.5391,457.0143
2023-12-19,42270.5273,459.7933
2023-12-20,43652.25,453.4218
2023-12-21,43869.1523,457.7211
2023-12-22,43997.9023,458.641
2023-12-23,43739.543,
2023-12-24,43016.1172,
2023-12-25,43613.1406,
2023-12-26,42520.4023,460.5776
2023-12-27,43442.8555,461.4104
2023-12-28,42627.8555,461.5847
2023-12-29,42099.4023,460.2484
2023-12-30,42156.9023,
2023-12-31,42265.1875,
2024-01-01,44167.332,
2024-01-02,44957.9688,457.6727
2024-01-03,42848.1758,453.9351
2024-01-04,44179.9219,452.4729
2024-01-05,44162.6914,453.0926
2024-01-06,43989.1953,
2024-01-07,43943.0977,
2024-01-08,46970.5039,459.5609
2024-01-09,46139.7305,458.8637
2024-01-10,46627.7773,461.4589
2024-01-11,46368.5859,461.2555
2024-01-12,42853.168,461.575
2024-01-13,42842.3828,
2024-01-14,41796.2695,
2024-01-15,42511.9688,
2024-01-16,43154.9453,459.8805
2024-01-17,42742.6523,457.3241
2024-01-18,41262.0586,461.391
2024-01-19,41618.4062,467.1428
2024-01-20,41665.5859,
2024-01-21,41545.7852,
2024-01-22,39507.3672,468.1305
2024-01-23,39845.5508,469.4958
2024-01-24,40077.0742,470.009
2024-01-25,39933.8086,472.5654
2024-01-26,41816.8711,471.965
